attack,sample,flipped,conf_delta
Homoglyph Swap,0,1,-0.485944926738739
Homoglyph Swap,1,0,-0.031154632568359375
Homoglyph Swap,2,1,-0.22407907247543335
Homoglyph Swap,3,1,0.3513680100440979
Homoglyph Swap,4,1,0.10813438892364502
Homoglyph Swap,5,1,-0.15029847621917725
Homoglyph Swap,6,1,0.028814852237701416
Homoglyph Swap,7,0,-0.05754035711288452
Homoglyph Swap,8,1,0.08094286918640137
Homoglyph Swap,9,1,0.34389591217041016
Homoglyph Swap,10,1,0.30323296785354614
Homoglyph Swap,11,0,-0.0696413516998291
Homoglyph Swap,12,0,0.3787466883659363
Homoglyph Swap,13,0,0.14331406354904175
Homoglyph Swap,14,0,0.44672006368637085
Homoglyph Swap,15,0,-0.05332750082015991
Homoglyph Swap,16,0,-0.021497726440429688
Homoglyph Swap,17,0,-0.30636197328567505
Homoglyph Swap,18,0,0.23870623111724854
Homoglyph Swap,19,0,0.021347641944885254
Homoglyph Swap,20,0,-0.013740599155426025
Homoglyph Swap,21,1,-0.015139341354370117
Homoglyph Swap,22,0,0.25639522075653076
Homoglyph Swap,23,0,-0.1678043007850647
Homoglyph Swap,24,0,-0.04234647750854492
Homoglyph Swap,25,1,-0.3805927038192749
Homoglyph Swap,26,1,0.0586780309677124
Homoglyph Swap,27,1,0.4657135605812073
Homoglyph Swap,28,0,0.02351599931716919
Homoglyph Swap,29,1,0.28824543952941895
Homoglyph Swap,30,0,0.020882785320281982
Homoglyph Swap,31,0,-0.28559499979019165
Homoglyph Swap,32,0,-0.2323426604270935
Homoglyph Swap,33,0,0.007626175880432129
Homoglyph Swap,34,1,0.24526923894882202
Homoglyph Swap,35,1,-0.047526538372039795
Homoglyph Swap,36,1,-0.014796555042266846
Homoglyph Swap,37,0,-0.2650677561759949
Homoglyph Swap,38,1,0.2590963840484619
Homoglyph Swap,39,0,-0.289884090423584
Homoglyph Swap,40,1,0.2160298228263855
Homoglyph Swap,41,1,0.3837200999259949
Homoglyph Swap,42,1,0.10695898532867432
Homoglyph Swap,43,1,-0.007407128810882568
Homoglyph Swap,44,0,-0.09020578861236572
Homoglyph Swap,45,0,0.1018708348274231
Homoglyph Swap,46,1,-0.39977121353149414
Homoglyph Swap,47,0,-0.0329473614692688
Homoglyph Swap,48,1,0.34169596433639526
Homoglyph Swap,49,0,0.0019440054893493652
Homoglyph Swap,50,1,-0.46377015113830566
Homoglyph Swap,51,0,-0.3491438627243042
Homoglyph Swap,52,0,-0.020530521869659424
Homoglyph Swap,53,0,0.057742953300476074
Homoglyph Swap,54,1,-0.09597766399383545
Homoglyph Swap,55,1,-0.02519160509109497
Homoglyph Swap,56,1,0.2808232307434082
Homoglyph Swap,57,0,0.06942170858383179
Homoglyph Swap,58,1,0.06455761194229126
Homoglyph Swap,59,0,-7.581710815429688e-05
Homoglyph Swap,60,0,-0.04709416627883911
Homoglyph Swap,61,1,-0.33152633905410767
Homoglyph Swap,62,0,-0.17213881015777588
Homoglyph Swap,63,0,-0.0032494068145751953
Homoglyph Swap,64,1,-0.0015103816986083984
