Attack,Flip Rate,Flips,High-Conf Flips,Avg Conf Delta,Fake→Credible Flips,Credible→Fake Flips
Homoglyph Swap,0.49666666666666665,298,187,-0.038420947392781575,297,1
Diacritic Inject,0.0,0,0,3.874301910400391e-09,0,0
Tatweel Stretch,0.0,0,0,3.874301910400391e-09,0,0
Zero-Width Chars,0.14666666666666667,88,22,-0.024410251080989837,84,4
Synonym Substitution,0.0,0,0,0.0007655159632364909,0,0
Numeral Injection,0.10666666666666667,64,6,-0.020244922935962677,61,3
Whitespace Flood,0.23833333333333334,143,56,-0.03375639289617539,142,1
Hashtag Padding,0.011666666666666667,7,0,-0.002221083641052246,7,0
URL Injection,0.0,0,0,3.874301910400391e-09,0,0
Compound Attack,0.49333333333333335,296,185,-0.038737982511520386,295,1
